"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2024","27.21","30.08","30.41","24.86","116.34M","-8.54%"
"01/01/2024","29.75","33.53","33.97","26.34","135.75M","-12.50%"
"12/01/2023","34.00","27.00","35.03","23.80","142.85M","26.58%"
"11/01/2023","26.86","25.67","27.34","24.27","90.31M","4.76%"
"10/01/2023","25.64","28.69","29.33","23.07","135.24M","-11.77%"
"09/01/2023","29.06","30.95","31.45","25.59","121.86M","-3.39%"
"08/01/2023","30.08","35.48","35.66","27.76","135.88M","-16.88%"
"07/01/2023","36.19","34.50","37.17","31.83","119.83M","6.66%"
"06/01/2023","33.93","32.00","37.74","31.52","102.99M","6.97%"
"05/01/2023","31.72","37.66","38.20","31.14","83.38M","-14.59%"
"04/01/2023","37.14","42.56","42.95","35.02","91.81M","-12.73%"
"03/01/2023","42.56","51.29","55.74","38.51","130.00M","-13.04%"
"02/01/2023","48.94","52.10","55.40","45.27","90.31M","-6.32%"
"01/01/2023","52.24","45.77","57.61","44.14","107.25M","14.89%"
"12/01/2022","45.47","50.04","51.25","41.82","85.28M","-9.30%"
"11/01/2022","50.13","40.77","50.76","36.51","127.54M","28.44%"
"10/01/2022","39.03","34.35","43.08","34.00","191.30M","15.95%"
"09/01/2022","33.66","47.69","53.79","33.55","166.69M","-31.97%"
"08/01/2022","49.48","49.88","58.24","47.20","113.99M","-2.77%"
"07/01/2022","50.89","44.88","51.01","39.56","127.04M","11.65%"
"06/01/2022","45.58","61.13","65.90","44.27","132.89M","-26.15%"
"05/01/2022","61.72","67.00","68.17","53.34","156.74M","-8.97%"
"04/01/2022","67.80","91.69","93.58","62.46","142.56M","-24.69%"
"03/01/2022","90.03","77.89","98.09","69.93","203.45M","19.50%"
"02/01/2022","75.34","57.99","80.58","56.73","156.82M","32.85%"
"01/01/2022","56.71","60.24","64.37","53.26","150.18M","-4.82%"
"12/01/2021","59.58","47.89","61.59","43.26","194.25M","28.05%"
"11/01/2021","46.53","46.22","52.86","45.21","165.12M","1.26%"
"10/01/2021","45.95","49.46","57.57","45.38","187.97M","-6.11%"
"09/01/2021","48.94","43.71","52.45","42.45","170.46M","10.30%"
"08/01/2021","44.37","40.22","45.79","36.61","152.31M","10.51%"
"07/01/2021","40.15","37.40","40.66","31.00","171.69M","8.98%"
"06/01/2021","36.84","40.20","41.15","31.90","174.04M","-7.13%"
"05/01/2021","39.67","37.18","44.42","34.94","140.20M","8.27%"
"04/01/2021","36.64","32.20","38.07","30.02","136.86M","12.77%"
"03/01/2021","32.49","25.67","34.29","25.40","170.33M","32.34%"
"02/01/2021","24.55","18.49","27.80","17.78","122.36M","36.39%"
"01/01/2021","18.00","23.62","26.20","17.30","124.32M","-21.91%"
"12/01/2020","23.05","20.48","24.17","20.46","114.01M","15.83%"
"11/01/2020","19.90","13.10","21.19","12.86","111.30M","54.02%"
"10/01/2020","12.92","11.69","14.14","10.98","129.38M","11.09%"
"09/01/2020","11.63","14.64","15.18","11.30","106.25M","-20.45%"
"08/01/2020","14.62","13.08","16.07","12.92","104.73M","12.46%"
"07/01/2020","13.00","11.18","13.86","10.43","167.85M","15.66%"
"06/01/2020","11.24","9.21","13.86","9.15","206.10M","22.04%"
"05/01/2020","9.21","7.86","10.67","6.38","185.04M","13.01%"
"04/01/2020","8.15","5.96","8.90","5.71","221.30M","32.31%"
"03/01/2020","6.16","14.02","14.04","5.16","217.16M","-55.59%"
"02/01/2020","13.87","14.01","16.80","12.83","109.26M","-0.57%"
"01/01/2020","13.95","21.86","21.86","13.62","150.24M","-35.15%"
"12/01/2019","21.51","20.47","21.92","19.52","75.43M","5.70%"
"11/01/2019","20.35","21.03","23.47","20.00","68.02M","-2.12%"
"10/01/2019","20.79","20.19","21.77","18.19","106.04M","3.59%"
"09/01/2019","20.07","17.63","23.33","17.09","74.81M","11.94%"
"08/01/2019","17.93","22.27","22.45","16.46","76.03M","-20.28%"
"07/01/2019","22.49","23.67","24.63","21.16","78.33M","-3.93%"
"06/01/2019","23.41","21.05","23.42","20.82","65.43M","10.48%"
"05/01/2019","21.19","26.70","27.10","21.02","71.86M","-20.58%"
"04/01/2019","26.68","28.68","29.73","25.71","79.71M","-5.26%"
"03/01/2019","28.16","29.68","30.20","26.51","63.69M","-4.54%"
"02/01/2019","29.50","29.70","31.45","26.51","71.37M","-0.61%"
"01/01/2019","29.68","25.95","30.28","25.48","99.77M","11.66%"
"12/01/2018","26.58","32.90","33.47","25.01","60.17M","-16.44%"
"11/01/2018","31.81","35.44","37.94","30.94","70.89M","-9.09%"
"10/01/2018","34.99","40.75","45.45","33.08","114.31M","-13.39%"
"09/01/2018","40.40","43.88","44.00","39.58","75.51M","-9.56%"
"08/01/2018","44.67","43.01","45.65","40.69","79.80M","3.24%"
"07/01/2018","43.27","46.46","48.87","40.03","91.06M","-7.70%"
"06/01/2018","46.88","48.39","50.59","43.35","60.58M","-2.48%"
"05/01/2018","48.07","51.04","55.38","46.82","73.51M","-6.11%"
"04/01/2018","51.20","44.86","62.35","43.80","123.26M","13.88%"
"03/01/2018","44.96","45.93","49.85","43.69","70.53M","-0.02%"
"02/01/2018","44.97","51.41","52.50","44.15","74.93M","-13.55%"
"01/01/2018","52.02","54.06","57.50","51.25","102.81M","-3.43%"
"12/01/2017","53.87","41.82","54.61","40.27","80.13M","29.78%"
"11/01/2017","41.51","48.91","49.27","40.22","86.09M","-13.12%"
"10/01/2017","47.78","46.43","50.31","46.01","83.68M","2.49%"
"09/01/2017","46.62","44.21","47.95","42.24","86.33M","6.24%"
"08/01/2017","43.88","36.46","44.10","35.91","81.05M","20.55%"
"07/01/2017","36.40","32.94","37.61","32.92","72.75M","11.49%"
"06/01/2017","32.65","32.84","34.00","29.55","78.70M","-0.88%"
"05/01/2017","32.94","33.95","34.33","30.42","82.95M","-2.34%"
"04/01/2017","33.73","34.62","37.20","30.45","106.00M","-1.95%"
"03/01/2017","34.40","35.93","38.17","31.29","98.52M","-0.55%"
"02/01/2017","34.59","36.58","39.78","33.35","88.49M","-5.10%"
"01/01/2017","36.45","28.60","38.94","28.17","93.23M","29.81%"
"12/01/2016","28.08","28.84","32.35","28.01","80.28M","-3.07%"
"11/01/2016","28.97","22.10","32.19","21.78","150.66M","35.12%"
"10/01/2016","21.44","22.50","24.25","20.00","2.93M","-29.52%"
"09/01/2016","30.42","30.27","30.99","27.90","120.04M","0.60%"
"08/01/2016","30.24","31.65","31.80","29.88","94.13M","-5.08%"
"07/01/2016","31.86","27.84","32.91","27.09","139.33M","14.56%"
"06/01/2016","27.81","27.60","30.51","26.85","145.16M","0.00%"
"05/01/2016","27.81","33.60","33.78","26.34","150.76M","-17.01%"
"04/01/2016","33.51","28.32","34.50","27.48","212.70M","16.60%"
"03/01/2016","28.74","27.36","30.66","26.76","205.59M","7.28%"
"02/01/2016","26.79","22.14","27.63","20.55","209.16M","22.50%"
"01/01/2016","21.87","28.56","29.40","18.42","286.39M","-26.14%"
"12/01/2015","29.61","28.38","30.81","25.50","197.25M","5.45%"
"11/01/2015","28.08","26.85","28.74","23.43","191.61M","4.82%"
"10/01/2015","26.79","29.13","33.54","25.86","262.87M","-7.56%"
"09/01/2015","28.98","27.45","30.48","26.58","218.15M","2.22%"
"08/01/2015","28.35","29.46","30.45","23.91","178.36M","-4.26%"
"07/01/2015","29.61","33.60","33.69","28.77","184.15M","-11.48%"
"06/01/2015","33.45","37.62","38.40","33.45","120.99M","-10.80%"
"05/01/2015","37.50","40.50","42.85","37.32","117.82M","-6.86%"
"04/01/2015","40.26","38.73","41.38","38.37","196.92M","3.87%"
"03/01/2015","38.76","44.52","45.96","37.95","215.17M","-12.64%"
"02/01/2015","44.37","47.46","51.30","44.10","122.61M","-5.50%"
"01/01/2015","46.95","47.61","49.59","43.62","143.82M","-0.89%"
"12/01/2014","47.37","52.20","52.35","43.23","123.68M","-8.68%"
"11/01/2014","51.87","50.34","53.25","48.46","82.65M","3.16%"
"10/01/2014","50.28","48.39","50.28","41.13","199.46M","4.16%"
"09/01/2014","48.27","49.92","52.08","46.59","131.04M","-3.13%"
"08/01/2014","49.83","48.78","50.22","46.80","78.45M","1.34%"
"07/01/2014","49.17","44.79","51.66","43.69","153.76M","10.07%"
"06/01/2014","44.67","41.31","45.54","40.60","84.24M","9.40%"
"05/01/2014","40.83","40.35","41.85","39.06","93.64M","1.04%"
"04/01/2014","40.41","38.85","41.10","37.02","182.40M","4.66%"
"03/01/2014","38.61","34.65","38.91","34.38","175.77M","9.63%"
"02/01/2014","35.22","34.56","36.48","32.49","132.91M","2.00%"
"01/01/2014","34.53","31.59","36.96","29.48","282.49M","8.28%"
"12/01/2013","31.89","28.86","32.31","27.87","135.38M","10.61%"
"11/01/2013","28.83","27.93","29.91","26.34","165.98M","3.67%"
"10/01/2013","27.81","24.30","28.92","23.46","253.54M","14.16%"
"09/01/2013","24.36","23.37","26.04","23.10","155.65M","5.45%"
"08/01/2013","23.10","24.00","24.87","23.04","147.42M","-3.14%"
"07/01/2013","23.85","23.49","24.75","22.89","108.99M","1.66%"
"06/01/2013","23.46","25.59","25.77","23.11","121.90M","-8.00%"
"05/01/2013","25.50","25.35","26.64","24.96","115.06M","0.00%"
"04/01/2013","25.50","25.53","25.62","23.70","158.01M","-0.23%"
"03/01/2013","25.56","25.35","26.10","24.90","96.24M","0.00%"
"02/01/2013","25.56","26.67","28.11","25.05","126.69M","-3.62%"
