"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2024","40.98","39.18","41.33","37.60","324.70M","5.62%"
"01/01/2024","38.80","35.64","39.75","34.32","420.35M","8.02%"
"12/01/2023","35.92","31.52","36.62","31.52","419.28M","13.67%"
"11/01/2023","31.60","28.73","32.29","26.30","454.30M","12.06%"
"10/01/2023","28.20","32.84","33.06","26.79","391.23M","-14.47%"
"09/01/2023","32.97","33.59","34.60","31.97","233.86M","-1.61%"
"08/01/2023","33.51","38.04","38.36","32.05","280.00M","-12.67%"
"07/01/2023","38.37","38.74","41.04","37.11","279.52M","-0.49%"
"06/01/2023","38.56","32.49","38.86","32.13","291.85M","18.98%"
"05/01/2023","32.41","34.00","34.28","31.50","303.52M","-1.91%"
"04/01/2023","33.04","36.38","36.81","31.83","271.63M","-9.92%"
"03/01/2023","36.68","38.68","41.35","32.99","336.06M","-5.32%"
"02/01/2023","38.74","39.45","43.63","38.46","297.98M","-1.48%"
"01/01/2023","39.32","34.01","39.73","33.40","327.65M","16.88%"
"12/01/2022","33.64","40.77","41.38","32.51","254.86M","-17.06%"
"11/01/2022","40.56","39.92","41.58","37.47","285.04M","3.34%"
"10/01/2022","39.25","32.46","39.65","31.10","317.70M","22.31%"
"09/01/2022","32.09","37.81","42.36","32.05","332.84M","-16.02%"
"08/01/2022","38.21","36.06","41.09","35.59","317.95M","5.38%"
"07/01/2022","36.26","31.28","36.44","30.33","292.49M","14.17%"
"06/01/2022","31.76","39.01","39.64","30.65","323.82M","-17.89%"
"05/01/2022","38.68","37.67","41.24","34.31","397.43M","2.03%"
"04/01/2022","37.91","44.16","44.45","37.31","363.97M","-13.33%"
"03/01/2022","43.74","46.02","46.74","39.75","403.11M","-6.38%"
"02/01/2022","46.72","52.85","55.55","43.91","385.00M","-11.40%"
"01/01/2022","52.73","59.87","67.21","49.24","471.00M","-10.06%"
"12/01/2021","58.63","59.25","63.28","53.14","380.28M","1.31%"
"11/01/2021","57.87","54.85","65.18","54.42","399.62M","6.32%"
"10/01/2021","54.43","53.03","59.35","52.25","402.17M","3.26%"
"09/01/2021","52.71","49.10","54.21","47.80","332.68M","7.55%"
"08/01/2021","49.01","57.37","58.60","47.07","431.36M","-13.78%"
"07/01/2021","56.84","59.44","59.73","52.63","290.45M","-3.94%"
"06/01/2021","59.17","59.99","64.30","58.41","356.62M","-0.24%"
"05/01/2021","59.31","57.60","60.72","53.52","323.99M","3.65%"
"04/01/2021","57.22","57.92","63.44","54.71","343.33M","-0.42%"
"03/01/2021","57.46","52.41","62.24","50.25","516.70M","11.94%"
"02/01/2021","51.33","51.46","57.05","49.35","419.44M","1.28%"
"01/01/2021","50.68","41.95","56.97","40.04","628.90M","21.71%"
"12/01/2020","41.64","44.78","45.45","40.06","274.38M","-5.02%"
"11/01/2020","43.84","35.12","46.71","34.23","380.36M","26.96%"
"10/01/2020","34.53","29.52","38.03","29.15","309.23M","16.69%"
"09/01/2020","29.59","29.53","33.33","28.24","341.96M","-0.13%"
"08/01/2020","29.63","25.06","31.12","24.82","273.22M","19.04%"
"07/01/2020","24.89","25.30","27.33","23.33","307.21M","-1.62%"
"06/01/2020","25.30","25.99","31.66","24.25","351.02M","-2.24%"
"05/01/2020","25.88","21.65","28.83","20.12","347.73M","16.11%"
"04/01/2020","22.29","19.50","24.99","17.79","360.00M","7.27%"
"03/01/2020","20.78","30.52","32.30","14.32","493.69M","-31.87%"
"02/01/2020","30.50","33.56","35.79","29.33","246.65M","-8.66%"
"01/01/2020","33.39","37.00","37.38","32.97","207.04M","-8.77%"
"12/01/2019","36.60","36.01","37.62","34.96","172.27M","1.67%"
"11/01/2019","36.00","37.21","38.96","34.59","191.37M","-3.12%"
"10/01/2019","37.16","37.47","38.70","33.71","215.92M","-0.85%"
"09/01/2019","37.48","36.89","39.78","36.44","173.23M","1.05%"
"08/01/2019","37.09","41.26","41.90","35.58","151.27M","-8.06%"
"07/01/2019","40.34","38.93","41.00","37.58","150.79M","4.70%"
"06/01/2019","38.53","33.35","38.99","33.08","175.43M","15.57%"
"05/01/2019","33.34","39.00","39.20","33.15","219.73M","-14.40%"
"04/01/2019","38.95","37.40","40.45","37.33","159.36M","4.99%"
"03/01/2019","37.10","39.85","41.50","36.26","179.46M","-6.03%"
"02/01/2019","39.48","38.91","40.74","38.01","180.10M","1.18%"
"01/01/2019","39.02","32.85","39.14","32.20","245.90M","16.65%"
"12/01/2018","33.45","39.00","39.61","31.46","227.53M","-11.86%"
"11/01/2018","37.95","36.24","38.75","33.85","266.80M","3.72%"
"10/01/2018","36.59","34.30","37.05","30.56","389.49M","8.67%"
"09/01/2018","33.67","36.00","36.49","33.28","241.38M","-6.60%"
